"jobtitle","company","location","salary","companysize","companyrating","summary"
"Computer Scientist - Artificial Intelligence","USC","Marina del Rey, CA","NA",439,52.2,"NA"
"Research Software Engineer - Artificial Intelligence","IBM","United States","NA",nan,51.0,"NA"
"Sr. AI Data Scientist","Lenovo","Raleigh, NC 27616 (Northeast area)","NA",623,44.4,"NA"
"AI / Machine Learning Engineer","HuntSource","Austin, TX","NA",nan,nan,"NA"
"Research Scientist, Machine Learning and Intelligence","Google","Mountain View, CA","NA",nan,52.8,"NA"
"Machine Learning Engineer","Toyota Research Institute","Los Altos, CA","NA",nan,nan,"NA"
"Research Assistant","Element Inc.","New York, NY","NA",nan,nan,"NA"
"Artificial Intelligence / Machine Learning Advanced Technolo...","BOEING","Seattle, WA","NA",nan,51.6,"NA"
"Software Engineer - Machine Learning & Artificial Intelligen...","Lynker Technologies","Tuscaloosa, AL","NA",nan,nan,"NA"
"Software Firmware Engineer, Google Hardware Machine Learning","Google","Mountain View, CA","NA",nan,52.8,"NA"
"Machine Learning Deployment Engineer, Professional Services,...","Google","Chicago, IL 60607 (Near West Side area)","NA",nan,52.8,"NA"
"Lead Artificial Intelligence Engineer","Mitre Corporation","McLean, VA","NA",142,52.2,"NA"
"Data Scientist - Advanced Analytics and Emerging Technologis","Anadarko Petroleum Corporation","The Woodlands, TX","NA",184,53.4,"NA"
"Sr Data Scientist - Advanced Analytics and Emerging Technolo...","Anadarko Petroleum Corporation","The Woodlands, TX","NA",184,53.4,"NA"
"Machine Learning / Artificial Intelligence Scientist","Ford Motor Company","Dearborn, MI","NA",nan,52.8,"NA"
"Deep Learning Computational Graph Engineer","Intel","San Diego, CA 92129","NA",nan,52.2,"NA"
"Business Analyst","Baker & Hostetler LLP","Atlanta, GA","NA",11,51.0,"NA"
"Software Development Engineer - Machine Learning / Artificia...","Target Finders Inc","The Woodlands, TX","NA",nan,nan,"NA"
"Machine Learning Scientist","Align Technology Inc","Raleigh, NC","NA",36,51.0,"The Machine Learning Research Scientist will help revolutionize our products by using our existing database of medical data to build services that improve..."
"Editorial Writer","The New York Times","New York, NY","NA",135,51.0,"This writer will be responsible for producing unsigned editorials and bylined pieces, from enterprising projects to news commentary, on subjects ranging from..."
"Data Scientist - Amazon AWS AI","Amazon Corporate LLC","Palo Alto, CA","NA",nan,43.2,"Want to help the largest global enterprises derive business value through the adoption of Artificial Intelligence (AI)?..."
"Sr. Machine Learning / Artificial Intelligence Engineer","ClosedLoop.ai","Austin, TX 78701 (Downtown area)","NA",nan,nan,"Machine Learning, Natural Language Processing (NLP), Pattern Recognition, Large Scale Data Mining or Artificial Intelligence...."
"Applied Machine Learning Engineer - Business Platform","Uber","Seattle, WA 98101 (Downtown area)","NA",214,44.4,"What you'll doAs an applied machine learning engineer on the Business Platform team you are uniquely positioned to bring artificial intelligence into Uber..."
"Machine Learning Platform Engineer","Apple","Pittsburgh, PA 15237","NA",nan,52.2,"Deep technical skills in one or more areas - distributed systems, services, machine learning, deep learning, computer vision, natural language processing, or..."
"Research Engineer","Nauto","Palo Alto, CA","NA",nan,nan,"NA"
