"jobtitle","company","location","longitude","latitude","salary","companysize","companyrating","summary"
"Data Scientist","BP","Houston, TX",nan,nan,"NA",nan,51.0,"Design, code and test algorithms for monitoring systems using real-time sensor feeds Develop a Digital Signal Processing (DSP) framework to ensure data quality..."
"Data Scientist","The University of Pittsburgh","Pittsburgh, PA",nan,nan,"NA",357,52.8,"Regression modeling, machine learning, data mining, clustering). The Data Scientist will work in the Office of Provost to improve existing data management..."
"Data Scientist","Apple","Austin, TX",nan,nan,"NA",nan,52.2,"This will be a cutting edge role that focuses both on gleaning insights from data and the implementation of analytical solutions based on those insights...."
"Junior Data Scientist","Reverb.com","Chicago, IL",nan,nan,"NA",nan,nan,"Conduct ad-hoc data analysis to characterize and evaluate marketing campaigns, product features, and other areas of the company, translating the data that we..."
"Data Scientist / Entry Level","Grab Minds","San Francisco Bay Area, CA",nan,nan,"NA",nan,nan,"Offers a range of training courses covering Data Scientist and Machine Learning, Big Data/Hadoop, QA Analyst(Manual, Automation), Informatica, Java and many..."
"Data Scientist","Leap.ai","Santa Clara, CA",nan,nan,"NA",nan,nan,"The Data Science team lies at the foundation of the company's success- you'll be working cross-functionally with teams of engineers, scientists, marketers, and..."
"Junior Data Analyst","Certilytics","Remote",nan,nan,"NA",nan,nan,"Our team represents a dynamic infusion of multidiscipline which includes actuarial, data and behavioral scientists, IT engineers, software developers, nurse..."
"Data Scientist","Under Armour","Austin, TX",nan,nan,"NA",438,44.4,"We are looking for an extraordinary data scientist who wants to design and build data products in areas such as computer vision, recommendation systems,..."
"Data Engineer","Tesla Motors","Palo Alto, CA",nan,nan,"NA",520,43.2,"You would have the opportunity to utilize advanced data mining techniques, descriptive and predictive analytics, machine learning, and optimization algorithms..."
"Data Scientist","Voda Inc.","Boston, MA 02109 (Central area)",nan,nan,"$60,000 - $80,000 a year",nan,nan,"NA"
"Data Scientist","Fuel Cycle","Los Angeles, CA",nan,nan,"$120,000 - $160,000 a year",nan,nan,"NA"
"Data Scientist","Children's Hospital of Wisconsin","Milwaukee, WI",nan,nan,"NA",77,53.4,"NA"
"Data Scientist","Planet Risk","McLean, VA",nan,nan,"NA",nan,nan,"NA"
"Data Scientist","pymetrics","New York, NY",nan,nan,"NA",2,51.0,"NA"
