"jobtitle","company","location","salary","companysize","companyrating","summary"
"Computer Scientist - Artificial Intelligence","USC","Marina del Rey, CA","NA",439,52.2,"The Information Sciences Institute (ISI) is home to over 100 researchers in artificial intelligence who carry out world-class research in a collaborative,..."
"Research Software Engineer - Artificial Intelligence","IBM","United States","NA",nan,51.0,"We are looking for hardware and software engineers, developers and scientists who are as passionate as we are about Artificial Intelligence ( AI ), advancing..."
"Sr. AI Data Scientist","Lenovo","Raleigh, NC 27616 (Northeast area)","NA",623,44.4,"Lenovo is gearing up to lead the intelligence transformation by making Artificial Intelligence (AI) applications easy to develop and deploy in data centers to..."
"AI / Machine Learning Engineer","HuntSource","Austin, TX","NA",nan,nan,"In Machine Learning, Artificial Intelligence, Computer Science, or related field _preferred_. Needs to be deeply passionate about strategic business..."
"Research Scientist, Machine Learning and Intelligence","Google","Mountain View, CA","NA",nan,52.8,"Experience in Natural Language Understanding, Computer Vision, Machine Learning, Algorithmic Foundations of Optimization, Data Mining or Machine Intelligence..."
"Machine Learning Engineer","Toyota Research Institute","Los Altos, CA","NA",nan,nan,"And (4) accelerate scientific discovery by applying techniques from artificial intelligence and machine learning...."
"Research Assistant","Element Inc.","New York, NY","NA",nan,nan,"Element was co-founded by Yann LeCun, a founding father of the deep learning field and current head of Artificial Intelligence at Facebook...."
"Artificial Intelligence / Machine Learning Advanced Technolo...","BOEING","Seattle, WA","NA",nan,51.6,"The Boeing Company is seeking a talented and highly motivated machine learning and artificial intelligence professional to work and lead the design, development..."
"Software Engineer - Machine Learning & Artificial Intelligen...","Lynker Technologies","Tuscaloosa, AL","NA",nan,nan,"NA"
"Software Firmware Engineer, Google Hardware Machine Learning","Google","Mountain View, CA","NA",nan,52.8,"We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking..."
"Machine Learning Deployment Engineer, Professional Services,...","Google","Chicago, IL 60607 (Near West Side area)","NA",nan,52.8,"Machine learning, recommendation systems, natural language processing, computer vision, pattern recognition, or artificial intelligence...."
"Data Scientist - Advanced Analytics and Emerging Technologis","Anadarko Petroleum Corporation","The Woodlands, TX","NA",184,53.4,"Execution of a wide range of projects across the Artificial Intelligence and Machine Learning domains. As part of the Data Science & Advanced Analytics team,..."
"Sr Data Scientist - Advanced Analytics and Emerging Technolo...","Anadarko Petroleum Corporation","The Woodlands, TX","NA",184,53.4,"Execution of a wide range of projects across the Artificial Intelligence and Machine Learning domains. As part of the Data Science & Advanced Analytics team,..."
"Lead Artificial Intelligence Engineer","Mitre Corporation","McLean, VA","NA",142,52.2,"Lead Artificial Intelligence Engineer - (29962BR). The Cognitive Science & Artificial Intelligence Department (K83A) has a business need for a Lead Artificial..."
"Deep Learning Computational Graph Engineer","Intel","San Diego, CA 92129","NA",nan,52.2,"NA"
"Data Scientist","Microsoft","Redmond, WA 98052","NA",nan,52.2,"Currently we are expanding our team to support projects that focus on Artificial Intelligence and Cognitive analytics...."
"Machine Learning / Artificial Intelligence Scientist","Ford Motor Company","Dearborn, MI","NA",nan,52.8,"NA"
"NA","IBM","United States","NA",nan,51.0,"NA"
"Software Development Engineer - Machine Learning / Artificia...","Target Finders Inc","The Woodlands, TX","NA",nan,nan,"NA"
"Machine Learning Scientist","Align Technology Inc","Raleigh, NC","NA",36,51.0,"NA"
"Editorial Writer","The New York Times","New York, NY","NA",135,51.0,"NA"
"Data Scientist - Amazon AWS AI","Amazon Corporate LLC","Palo Alto, CA","NA",nan,43.2,"NA"
"Sr. Machine Learning / Artificial Intelligence Engineer","ClosedLoop.ai","Austin, TX 78701 (Downtown area)","NA",nan,nan,"NA"
"Applied Machine Learning Engineer - Business Platform","Uber","Seattle, WA 98101 (Downtown area)","NA",214,44.4,"NA"
"Machine Learning Platform Engineer","Apple","Pittsburgh, PA 15237","NA",nan,52.2,"NA"
"Research Engineer","Nauto","Palo Alto, CA","NA",nan,nan,"NA"
"Machine Learning Scientist","Amazon Corporate LLC","Seattle, WA","NA",nan,43.2,"NA"
"Machine Learning Engineer","Xilinx","San Jose, CA 95124 (Cambrian Park area)","NA",69,44.4,"Xilinx is seeking an engineer to join our R&D team developing future generation technologies for machine learning and artificial intelligence...."
"Machine Learning Engineer","Dropbox","San Francisco, CA","NA",15,44.4,"NA"
"Online Chat Support Representative","CarLabs","Los Angeles, CA","$35,000 - $37,000 a year",nan,nan,"Interest in the automotive industry or artificial intelligence is also a plus. We are looking for a representative to join our human support team...."
"Junior Data Scientist","Aquasight","Troy, MI 48084","NA",nan,nan,"Optimization and simulation using machine learning and artificial intelligence techniques. Aquasight is a Big-Data IoT business for the life cycle of water..."
"Data Scientist and Machine Learning Researcher","American Express","New York, NY","NA",nan,52.2,"NA"
"Senior Product Manager, Artificial Intelligence and Machine...","Keller Williams","Austin, TX 78746","NA",nan,53.4,"Senior Product Manager, Artificial Intelligence and Machine Learning. We are looking for a Senior Product Manager, Artificial Intelligence and Machine Learning..."
"Research Software Engineer, Google Brain","Google","New York, NY 10011 (Chelsea area)","NA",nan,52.8,"Participate in cutting-edge research in artificial intelligence and machine learning applications. MS or PhD degree in Computer Science, Artificial Intelligence..."
"NA","HBO","New York, NY","NA",86,52.8,"Be a thought leader in the adoption of machine learning and artificial intelligence approaches or tools in audience and customer engagement...."
"Machine Learning Engineer","HomeLight","San Francisco, CA","NA",nan,nan,"NA"
"Student Research Collaboration","Google","Pittsburgh, PA","NA",nan,52.8,"Experience (classroom or work related) in Natural Language Understanding, Neural Networks, Computer Vision, Machine Learning, Deep Learning, Algorithmic..."
"Software Engineering Intern: Back-End","Apple","Santa Clara Valley, CA","NA",nan,52.2,"Natural Language, Machine Learning, and/or Artificial Intelligence experience is a plus. Apple is currently seeking enthusiastic interns who can work full-time..."
"Data Scientist","ABBOTT LABORATORIES","Irving, TX 75038","NA",nan,52.2,"NA"
"Data Analyst (ML/AI) with J2EE/Spring","Loginsoft Consulting LLC","Township of Warren, NJ","NA",nan,nan,"Experience with Artificial Intelligence (AI) / Machine learning methodologies is mandatory. We are looking only for candidates willing to join us directly as W2..."
"Data Scientist","Hyperloop One","Los Angeles, CA","NA",5,51.0,"The Data Scientist / Analyst will be part of the Machine Intelligence and Analytics team. Develop metrics and evaluation criteria to characterize and quantify..."
"Software Engineer, Cloud Machine Learning","Google","Mountain View, CA","NA",nan,52.8,"Participate in cutting edge research in artificial intelligence and machine learning applications. 2 years of work or educational experience in Machine Learning..."
"Machine Learning Scientist","Cogito Corporation","Boston, MA 02109 (Central area)","NA",nan,nan,"Work at the cutting edge of Artificial Intelligence and Machine Learning. The Machine Learning Scientist will bolster the modeling expertise and will help..."
"Machine Learning Engineer","Apple","Santa Clara Valley, CA","NA",nan,52.2,"Create groundbreaking technology for large scale systems, spoken language, big data, and artificial intelligence...."
"Principle Engineer","Intellipro Group Inc.","Santa Clara, CA","NA",nan,nan,"Machine learning, recommendation systems, categorization, large-scale data mining or artificial intelligence, NLP...."
"Data Scientist","Wells Fargo","Charlotte, NC","NA",nan,43.8,"NA"
"Applied AI Engineer","Bonsai","Berkeley, CA","NA",7,42.6,"The ideal candidate is a talented, experienced, and passionate Artificial Intelligence Engineer with a broad knowledge of machine learning techniques to help..."
"Cloud Machine Learning Research Scientist","Google","Mountain View, CA","NA",nan,52.8,"Participate in cutting-edge research in artificial intelligence and machine learning applications. Experience in Natural Language Understanding, Computer Vision..."
"Deep Learning Research Engineer","Intellipro Group Inc.","San Jose, CA 95134 (North San Jose area)","NA",nan,nan,"Produce Intellectual property in the general area of artificial intelligence and/or autonomous driving; Job Tasks and Responsibilities:...."
"Jr Software Engineer","Leidos","Arlington, VA 22202 (Aurora Highlands area)","NA",284,43.8,"They may also assist in user interface or artificial intelligence development. Leidos is a global science and technology solutions leader working to solve the..."
"Jr. Unity 3D Programmer","AVNIK Defense Solutions, Inc.","Huntsville, AL","NA",nan,nan,"Familiarity with one or more programming specialties (virtual reality/augmented reality, artificial intelligence, 3D Visualization, 3D Rendering, 3D animation,..."
