"jobtitle","company","location","longitude","latitude","salary","companysize","companyrating","summary"
"Machine Learning Engineer (Boston)","QuantumBlack","Boston, MA",nan,nan,"NA",nan,nan,"NA"
"Software Engineer, Machine Learning","Google","Mountain View, CA",nan,nan,"NA",nan,52.8,"NA"
"Data Engineer","Tesla Motors","Palo Alto, CA",nan,nan,"NA",520,43.2,"NA"
"Machine Learning Engineer","Mozaic Group Inc.","Wilmington, DE",nan,nan,"NA",nan,nan,"NA"
"Applied Researcher, Machine Learning","Apple","Santa Clara Valley, CA",nan,nan,"NA",nan,52.2,"NA"
"Data Scientist II","Treverity, Inc","Houston, TX",nan,nan,"$80,000 - $90,000 a year",nan,nan,"NA"
"Machine Learning Engineer - Wanderare","1871","Chicago, IL",nan,nan,"$110,000 - $115,000 a year",nan,nan,"NA"
"Machine Learning Engineer","Apple","Santa Clara Valley, CA",nan,nan,"NA",nan,52.2,"NA"
"Machine Learning Engineer","Timeswell LLC","Santa Clara, CA",nan,nan,"NA",nan,nan,"NA"
"Artificial Intelligence/Machine Learning Research Developer","NBCUniversal","Englewood Cliffs, NJ",nan,nan,"NA",nan,51.6,"NA"
"Data Scientist/Quantitative Analyst, Engineering","Google","San Francisco, CA",nan,nan,"NA",nan,52.8,"Applied experience with machine learning on large datasets. As a Data Scientist, you will evaluate and improve Google's products...."
"Data Scientist","Voda Inc.","Boston, MA 02109 (Central area)",nan,nan,"$60,000 - $80,000 a year",nan,nan,"Master's Degree or higher preferred in data science, statistics or applied mathematics, computer science, environmental research, artificial intelligence..."
"Data Scientist","Fuel Cycle","Los Angeles, CA",nan,nan,"$120,000 - $160,000 a year",nan,nan,"Experience with open source machine learning tool kits, deep learning, data mining, and statistical analysis tools...."
"Data Scientist","The University of Pittsburgh","Pittsburgh, PA",nan,nan,"$46,644 - $76,440 a year",357,52.8,"In addition, the candidate must have experience designing, conducting, and interpreting statistical analyses using common statistical software tools (e.g., SAS..."
"Data Science Internship - DCPI, Fall 2017","Disney Consumer Products and Interactive Media","Glendale, CA",nan,nan,"NA",nan,nan,"Use statistics and machine learning to build models to predict guest and service behavior in DisneyLife, an SVOD service...."
"Machine Intelligence Algorithm Developer","MIT Lincoln Laboratory","Lexington, MA",nan,nan,"NA",22,52.2,"Candidates will be expected to help design and test methods for automatic interpretation of data, applying concepts from the fields of machine learning (in..."
"Senior Software Engineer, Machine Learning","Unity Technologies","San Francisco, CA 94107 (South Of Market area)",nan,nan,"NA",6,51.0,"If you are a proven team player who dreams of having a huge impact and wants to be at the forefront of AI and Machine Learning, dream no more and come join the..."
"Data Science Analyst","Atlantis, Paradise Island","Plantation, FL",nan,nan,"NA",nan,nan,"Of quantitative discipline (Statistics, Computer Science, Machine Learning, Operations Research, Industrial Engineering:...."
"Data Science Intern","Airware","San Francisco, CA",nan,nan,"NA",nan,nan,"NA"
"Machine Learning and AI Team","Maxeler Technologies","Mountain View, CA",nan,nan,"NA",nan,nan,"NA"
"Data Science Intern","Operr Technologies","Flushing, NY",nan,nan,"NA",nan,nan,"NA"
"Machine Learning Engineer","Mobilyte","San Francisco, CA",nan,nan,"NA",nan,nan,"NA"
"Software Engineer- Machine Learning","Mobilyte Inc","San Francisco, CA",nan,nan,"NA",nan,nan,"NA"
"Computer Vision Engineer","Anki","San Francisco, CA",nan,nan,"NA",nan,nan,"NA"
"Machine Learning Engineer","Spotify","New York, NY 10011 (Chelsea area)",nan,nan,"NA",26,53.4,"NA"
"EDA Machine Learning Software Engineer","Cadence Design Systems","Pittsburgh, PA",nan,nan,"NA",109,52.2,"NA"
"Entry-Level Software Engineer","Autonomous Healthcare","Hoboken, NJ",nan,nan,"NA",nan,nan,"NA"
"Student Research Collaboration","Google","Pittsburgh, PA",nan,nan,"NA",nan,52.8,"Participate in cutting edge research in machine intelligence and machine learning applications. Experience (classroom or work related) in Natural Language..."
"Data Science Analyst","xentity corporation","Denver, CO",nan,nan,"NA",2,60.0,"Machine Learning - Markov or Markov Chain, Naive Bayes, N-Grams, Levenshtein distance or Damerau-Levenshtein distance, Fuzzy Search, NLP,...."
"Computer Vision Engineer","Uptake","Chicago, IL",nan,nan,"NA",nan,nan,"Develop Computer Vision and Machine Learning Algorithms for object recognition, deep learning, image classification and video classification...."
"Machine Learning Engineer","Twitter","San Francisco, CA 94103 (South Of Market area)",nan,nan,"NA",39,51.6,"2+ years industry experience and MS or PhD in computer science, data mining, machine learning, information retrieval, recommendation systems, math, engineering,..."
"Clinical Data Scientist","Medtronic","Chanhassen, MN",nan,nan,"NA",nan,51.0,"NA"
"Algorithm Developer in Machine Learning","Expedition Technology, Inc.","Dulles, VA 20166",nan,nan,"NA",nan,nan,"Expedition Technology Inc. (EXP) is seeking strong junior level candidates to support one or more of our broad set of projects. We are especially interested"
"Machine Learning Engineer","Pienso","Brooklyn, NY",nan,nan,"NA",nan,nan,"NA"
"Machine Learning Engineer (Associate) - Intelligent Solution...","JP Morgan Chase","New York, NY 10001 (Chelsea area)",nan,nan,"NA",nan,44.4,"NA"
"Camera & Photos - Computer Vision and Machine Learning Resea...","Apple","Santa Clara Valley, CA",nan,nan,"NA",nan,52.2,"You will have a track record and strong background in computer vision and machine learning. The Camera & Photos team focuses on user-experience by leveraging..."
"Architecture and Design Engineer for Accelerator ASIC","Google","Madison, WI",nan,nan,"NA",nan,52.8,"NA"
"Lead Developer","Sphere, Inc.","Pittsburgh, PA",nan,nan,"NA",nan,nan,"NA"
"Machine Learning","Twitter","San Francisco, CA 94103 (South Of Market area)",nan,nan,"NA",39,51.6,"NA"
"Data Scientist (Research)","Aviso","Menlo Park, CA 94025",nan,nan,"NA",nan,nan,"NA"
"Data Scientist","Akraya Inc.","Mountain View, CA",nan,nan,"$85 - $110 an hour",nan,nan,"NA"
"Software Engineer, Cloud Machine Learning","Google","Mountain View, CA",nan,nan,"NA",nan,52.8,"NA"
"Software Engineer - Machine Learning","Yelp","San Francisco, CA 94105 (Financial District area)",nan,nan,"NA",195,43.2,"NA"
