"jobtitle","company","location","salary","companysize","companyrating","summary"
"Data Scientist","Research Innovation and ROI, Inc.","Remote","$120,000 - $150,000 a year",nan,nan,"Considered a subject matter expert in data analytics, data mining, structures, theories, principles, and practices...."
"Data Scientist Entry Level","Intel","Hillsboro, OR 97124","NA",nan,52.2,"Deep learning, machine learning and/or big data. Data Scientists influence how Intel does business, one data-driven decision at a time!..."
"University Graduate - Data Scientist","NetApp","Research Triangle Park, NC","NA",472,51.0,"Be part of a team that identifies Industry trends, develops product architectures, build prototypes, designs and develops software, tests and develops test..."
"Data Scientist - New University Graduate","Workday","Pleasanton, CA","NA",28,44.4,"In addition to projects, you will be able to learn from fellow top notch data scientists and engineers, follow and share cutting-edge machine learning and deep..."
"Analyst, Data & Analytics","Casper","New York, NY","NA",24,51.0,"1-3 years of experience as a Data Analyst, Data Scientist or Management Consultant, preferably at an e-commerce brand with a high volume of complex data...."
"Senior Scientist- Modeling & Simulation","Pfizer Inc.","Cambridge, MA","NA",nan,52.2,"Keen to interact as a modeling and simulation expert with matrix project teams working closely with departmental, Biology and Clinical scientists...."
"Data Scientist","Microsoft","Redmond, WA 98052","NA",nan,52.2,"The team focuses on enterprise level engagement, where advanced data mining and modeling skills are needed to find business insights...."
"Data Scientist, New Graduate","Groupon","Chicago, IL 60654 (Loop area)","NA",534,42.6,"Large-scale linear and nonlinear constrained optimization algorithms for managing the right portfolio of deals in each local market Qualifications Graduating..."
"Data Scientist","The University of Pittsburgh","Pittsburgh, PA","$46,644 - $76,440 a year",366,52.2,"In addition, the candidate must have experience designing, conducting, and interpreting statistical analyses using common statistical software tools (e.g., SAS..."
"Data Scientist","Intel","Phoenix, AZ 85018 (Camelback East area)","NA",nan,52.2,"Uses predictive modeling, statistics, Machine Learning, Data Mining, and other data analysis techniques to collect, explore, and extract insights from structure..."
"Data Scientist: Modeling/Forecasting","Twitter","San Francisco, CA 94103 (South Of Market area)","NA",40,51.0,"You should be passionate about challenging prediction problems, finding insights in data, and applying your conclusions to drive clear and practical business..."
"Data Scientist","Domo","American Fork, UT 84003","NA",6,43.8,"Experience with advanced analytics concepts such as regression models, clustering algorithms, machine learning, text analytics and time series analysis...."
"Data Scientist w/Machine Learning","Mastech Digital","Cambridge, MA","NA",11,41.4,"Data Scientist w/Machine Learning*. We are seeking a data scientist with expertise in machine learning and its use in deciphering novel associations in complex..."
"Data Scientist","Nordstrom","Seattle, WA","NA",nan,51.0,"Our Advanced Analytics team works in partnership with other areas of the Company to develop insights, algorithms, and data products that support decision making..."
"Junior Data Scientist","SAP","Palo Alto, CA","NA",874,52.8,"As a Data Scientist , you will work in a team of experience experienced researchers and data scientists taking on challenges posed by the SAP customers and..."
"Data Scientist, Junior","Booz Allen Hamilton","Norfolk, VA 23502","NA",nan,44.4,"Leverage expertise in various machine learning or machine intelligence techniques, including neural networks, deep learning, random forests, image processing,..."
"Data Analyst","Civitas Learning","Austin, TX 78703","NA",5,43.8,"Work with Data Scientists to vet analysis methodologies and build or improve on internal tools for analysis. Work with Data Scientists and Product Managers to..."
"Data Scientist and Machine Learning Researcher","American Express","New York, NY","NA",nan,52.2,"A Data Scientist in the Machine Learning and Data Science Team, you will help American Express accelerate its digital...."
"Junior Data Scientist","Dignity Health","San Francisco, CA 94107 (South Of Market area)","NA",736,44.4,"NA"
"Research Scientist-Data Sciences","Eli Lilly","Cambridge, MA","NA",827,52.2,"NA"
"Junior Data Scientist","Suntiva","Fort Belvoir, VA","NA",12,40.8,"NA"
"Statistician","Incept Data Solutions, Inc","Work at Home","NA",nan,nan,"NA"
"Data Scientist","IBM","San Jose, CA","NA",nan,51.0,"NA"
"Data Scientist","WeWork","New York, NY 10005 (Financial District area)","NA",33,39.6,"NA"
"Data Scientist","JustEnough","Irvine, CA","NA",nan,nan,"NA"
"Entry-Mid level Data Scientist","Prevalent Inc.","Tysons Corner, VA","NA",nan,nan,"NA"
"Data Scientist","RConnect LLC","Renton, WA","$100,000 - $110,000 a year",nan,nan,"NA"
"Data Scientist","Long Beach City College","Long Beach, CA","$88,134 - $120,083 a year",77,52.8,"It is the District's policy to ensure that all qualified applicants for employment and employees have full and equal access to employment opportunity and are..."
"Junior Data Scientist","Aquasight","Troy, MI 48084","NA",nan,nan,"Based in Troy, MI, we are expanding rapidly throughout the country and looking to hire additional data scientists as a part of our high-performance team...."
"Machine Learning PhD Internship - Summer 2018","Dropbox","San Francisco, CA","NA",15,44.4,"We are looking for Machine Learning interns pursuing a PhD with an academic or practical background in machine learning, ideally with experience in natural..."
"Data Scientist","Sprint","Overland Park, KS 66210","NA",nan,43.8,"Identifies meaningful insights from large data and metadata sources; Provides assessment of campaign effectiveness including creation of test plans and..."
"Data Scientist","UPMC","Pittsburgh, PA 15219 (Middle Hill area)","NA",507,42.6,"Implements plans for capturing and creating new data elements, working with Health Plan CIO and IT staff. The Data Scientist develops, implements, and monitors..."
"Looking for a Data Scientist","Libsys Inc","Irvine, CA","NA",3,51.0,"Experience in Statistical and Mathematical analysis, Data Mining, Data Manipulation. If a person is having 50% experience in Big Data and 50% as Data Scientist..."
"Data Scientist Specialist","Accenture","Columbus, OH","NA",nan,51.0,"Data Scientists are expected to collaborate with other data scientists, subject matter experts, sales, and delivery teams from Accenture locations around the..."
"Software Engineer, Machine Learning","Dataminr","New York, NY","NA",nan,nan,"You will be working closely with Data Scientists to tackle challenging data problems, including:. You are a dedicated software engineer interested in building..."
"Junior Data Scientist","Gray Matter Analytics","Chicago, IL","NA",nan,nan,"NA"
"Data Scientist - Amazon AWS AI","Amazon Corporate LLC","Palo Alto, CA","NA",nan,43.2,"Excited by using massive amounts of data to develop Machine Learning (ML) and Deep Learning (DL) models? Data Scientist background highly desired;..."
"Data Scientist","Riot Games","Los Angeles, CA","NA",13,51.0,"Develop tools that will help data scientists and stakeholders more efficiently plumb the dark depths of our very deep, very rich data stores...."
"Sr. Machine Learning / Artificial Intelligence Engineer","ClosedLoop.ai","Austin, TX 78701 (Downtown area)","NA",nan,nan,"Machine Learning, Natural Language Processing (NLP), Pattern Recognition, Large Scale Data Mining or Artificial Intelligence...."
"Data Scientist","MicroHealth, LLC","Tacoma, WA 98431","NA",nan,nan,"Considered a subject matter expert in data analytics, data mining, structures, theories, principles, and practices...."
"Data Scientist","Terbium Labs","Baltimore, MD 21230 (West Baltimore area)","NA",nan,nan,"Intelligent and creative data scientists are required.*. At Terbium, you get to collaborate with brilliant software and data engineers, scientists, and security..."
"Data Scientist","REI","Kent, WA 98032","NA",265,51.6,"As a Data Scientist at REI, you will have the opportunity to work on rich, cross-functional data sets and influence the long term evolution of our analytics..."
"Data Scientist","TekVizor","Hartford, CT","$160,000 - $185,000 a year",nan,nan,"Senior Data Scientist*. Major health care firm is looking for a lead data scientist who is a hacker at heart. Strong interest in machine learning/ deep learning..."
"Data Scientist","NeuroFlow","Philadelphia, PA","$48,000 - $90,000 a year",nan,nan,"By leveraging third-party wearable devices, we perform advanced data analytics to give mental health providers and patients objective insights rather than..."
